Occupational Category,Total_FullTime_Workers_Estimate,Total_FullTime_Workers_MOE3,Men_FullTime_Workers,Men_FullTime_Workers_MOE3,Women_FullTime_Workers,Women_FullTime_Workers_MOE3,Women_Percentage_in_Group_Estimate,Women_Percentage_in_Group_MOE3,Total_Median_Earnings_Estimate,Total_Median_Earnings_MOE3,Men_Median_Earnings_Estimate,Men_Median_Earnings_MOE3,Women_Median_Earnings_Estimate,Women_Median_Earnings_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Earnings_as_Percentage_of_Men_MOE3,Year,Women_Percentage_Out_Of_All_Women,Standardized_Occupational_Category,Major Group,Minor Group,Broad Group,Detailed Occupation,Occupation Name,Standardized_Occupation_Name,Combined Group,O*NET-SOC 2019 Code,O*NET-SOC 2019 Title,2018 SOC Code,2018 SOC Title
Couriers and messengers,338721,12003,271688,11497,67033,4840,19.8,1.4,39075,856,41323,823,31434,819,76.1,2.7,2022,0.13528812254928652,couriers and messengers,,,,43-5021,Couriers and Messengers,couriers and messengers,43-5021,43-5021.00,Couriers and Messengers,43-5021,Couriers and Messengers
Public safety telecommunicators,89011,6209,31609,3592,57402,4734,64.5,3,49822,2061,53644,4639,47478,2094,88.5,8.5,2022,0.11585053347715521,public safety telecommunicators,,,,43-5031,Public Safety Telecommunicators,public safety telecommunicators,43-5031,43-5031.00,Public Safety Telecommunicators,43-5031,Public Safety Telecommunicators
Dispatchers except police fire and ambulance,162023,8343,74151,5089,87872,6931,54.2,2.7,46014,1089,52101,1829,41487,787,79.6,3.2,2022,0.17734605201394693,dispatchers except police fire and ambulance,,,,43-5032,"Dispatchers, Except Police, Fire, and Ambulance",dispatchers except police fire and ambulance,43-5032,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",43-5032,"Dispatchers, Except Police, Fire, and Ambulance"
Meter readers utilities,15812,2322,14185,2147,1627,690,10.3,4,48302,3855,48833,4777,36174,21328,(X),(X),2022,0.003283663,meter readers utilities,,,43-5040,,"Meter Readers, Utilities",meter readers utilities,43-5040,,,,
Meter readers utilities,15812,2322,14185,2147,1627,690,10.3,4,48302,3855,48833,4777,36174,21328,(X),(X),2022,0.003283663,meter readers utilities,,,,43-5041,"Meter Readers, Utilities",meter readers utilities,43-5041,43-5041.00,"Meter Readers, Utilities",43-5041,"Meter Readers, Utilities"
Postal service clerks,108218,7339,50954,4336,57264,4963,52.9,2.6,57431,2833,62120,2239,52300,2344,84.2,4.8,2022,0.1155720175087247,postal service clerks,,,,43-5051,Postal Service Clerks,postal service clerks,43-5051,43-5051.00,Postal Service Clerks,43-5051,Postal Service Clerks
Postal service mail carriers,301244,9651,188178,7524,113066,6004,37.5,1.6,61859,877,64813,1388,56680,1841,87.5,3.4,2022,0.2281933803374104,postal service mail carriers,,,,43-5052,Postal Service Mail Carriers,postal service mail carriers,43-5052,43-5052.00,Postal Service Mail Carriers,43-5052,Postal Service Mail Carriers
Postal service mail sorters processors and processing machine operators,50805,4481,27976,3136,22829,2901,44.9,4,52996,2833,55348,6007,50992,3994,92.1,13.2,2022,0.046074210458694406,postal service mail sorters processors and processing machine operators,,,,43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",postal service mail sorters processors and processing machine operators,43-5053,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
Production planning and expediting clerks,239078,9093,117293,6465,121785,6272,50.9,1.9,59645,1806,68540,1519,50161,1740,73.2,3,2022,0.24579034213991408,production planning and expediting clerks,,,43-5060,,"Production, Planning, and Expediting Clerks",production planning and expediting clerks,43-5060,,,,
Production planning and expediting clerks,239078,9093,117293,6465,121785,6272,50.9,1.9,59645,1806,68540,1519,50161,1740,73.2,3,2022,0.24579034213991408,production planning and expediting clerks,,,,43-5061,"Production, Planning, and Expediting Clerks",production planning and expediting clerks,43-5061,43-5061.00,"Production, Planning, and Expediting Clerks",43-5061,"Production, Planning, and Expediting Clerks"
Shipping receiving and inventory clerks,514600,12561,342668,10844,171932,8450,33.4,1.4,39681,483,41324,438,36061,614,87.3,2,2022,0.34699860495791524,shipping receiving and inventory clerks,,,43-5070,,"Shipping, Receiving, and Inventory Clerks",shipping receiving and inventory clerks,43-5070,,,,
Shipping receiving and inventory clerks,514600,12561,342668,10844,171932,8450,33.4,1.4,39681,483,41324,438,36061,614,87.3,2,2022,0.34699860495791524,shipping receiving and inventory clerks,,,,43-5071,"Shipping, Receiving, and Inventory Clerks",shipping receiving and inventory clerks,43-5071,43-5071.00,"Shipping, Receiving, and Inventory Clerks",43-5071,"Shipping, Receiving, and Inventory Clerks"
Weighers measurers checkers and samplers recordkeeping,64622,4591,36504,3642,28118,3171,43.5,3.9,42892,3170,49678,4280,38743,2258,78,8.7,2022,0.056748638,weighers measurers checkers and samplers recordkeeping,,,43-5110,,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",weighers measurers checkers and samplers recordkeeping,43-5110,,,,
Weighers measurers checkers and samplers recordkeeping,64622,4591,36504,3642,28118,3171,43.5,3.9,42892,3170,49678,4280,38743,2258,78,8.7,2022,0.056748638,weighers measurers checkers and samplers recordkeeping,,,,43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",weighers measurers checkers and samplers recordkeeping,43-5111,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
Executive secretaries and executive administrative assistants,238929,8288,13612,1870,225317,8203,94.3,0.8,66457,1338,63168,6051,66750,1312,105.7,11.4,2022,0.45474190187575664,executive secretaries and executive administrative assistants,,,,43-6011,Executive Secretaries and Executive Administrative Assistants,executive secretaries and executive administrative assistants,43-6011,43-6011.00,Executive Secretaries and Executive Administrative Assistants,43-6011,Executive Secretaries and Executive Administrative Assistants
Legal secretaries and administrative assistants,49918,4540,2368,1015,47550,4244,95.3,1.9,55072,2909,60891,5994,54249,2942,(X),(X),2022,0.095966915,legal secretaries and administrative assistants,,,,43-6012,Legal Secretaries and Administrative Assistants,legal secretaries and administrative assistants,43-6012,43-6012.00,Legal Secretaries and Administrative Assistants,43-6012,Legal Secretaries and Administrative Assistants
Medical secretaries and administrative assistants,100514,5586,8551,1836,91963,5497,91.5,1.8,40976,729,41143,9078,40972,718,(X),(X),2022,0.1856026377157525,medical secretaries and administrative assistants,,,,43-6013,Medical Secretaries and Administrative Assistants,medical secretaries and administrative assistants,43-6013,43-6013.00,Medical Secretaries and Administrative Assistants,43-6013,Medical Secretaries and Administrative Assistants
Secretaries and administrative assistants except legal medical and executive,1505203,21867,104869,5940,1400334,20383,93,0.4,43554,389,50397,1331,43062,408,85.4,2.4,2022,2.8261984067837127,secretaries and administrative assistants except legal medical and executive,,,,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",secretaries and administrative assistants except legal medical and executive,43-6014,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
Data entry keyers,199714,7737,49798,3542,149916,7268,75.1,1.7,39117,818,42294,1884,38204,971,90.3,4.8,2022,0.3025652168349744,data entry keyers,,,,43-9021,Data Entry Keyers,data entry keyers,43-9021,43-9021.00,Data Entry Keyers,43-9021,Data Entry Keyers
Word processors and typists,18546,2579,2632,795,15914,2539,85.8,4.4,39859,1951,44432,16004,38796,2570,(X),(X),2022,0.032118139,word processors and typists,,,,43-9022,Word Processors and Typists,word processors and typists,43-9022,43-9022.00,Word Processors and Typists,43-9022,Word Processors and Typists
Desktop publishers,1958,960,1211,794,747,574,38.2,25.5,62270,19286,73448,12620,50724,3172,(X),(X),2022,0.001507619,desktop publishers,,,43-9030,,Desktop Publishers,desktop publishers,43-9030,,,,
Desktop publishers,1958,960,1211,794,747,574,38.2,25.5,62270,19286,73448,12620,50724,3172,(X),(X),2022,0.001507619,desktop publishers,,,,43-9031,Desktop Publishers,desktop publishers,43-9031,43-9031.00,Desktop Publishers,43-9031,Desktop Publishers
Insurance claims and policy processing clerks,209533,9381,37511,4090,172022,8644,82.1,1.8,43916,749,52352,3546,42396,560,81,5.2,2022,0.34718024580689166,insurance claims and policy processing clerks,,,43-9040,,Insurance Claims and Policy Processing Clerks,insurance claims and policy processing clerks,43-9040,,,,
Insurance claims and policy processing clerks,209533,9381,37511,4090,172022,8644,82.1,1.8,43916,749,52352,3546,42396,560,81,5.2,2022,0.34718024580689166,insurance claims and policy processing clerks,,,,43-9041,Insurance Claims and Policy Processing Clerks,insurance claims and policy processing clerks,43-9041,43-9041.00,Insurance Claims and Policy Processing Clerks,43-9041,Insurance Claims and Policy Processing Clerks
Mail clerks and mail machine operators except postal service,35948,3798,18444,2715,17504,2441,48.7,4.8,36818,1390,39923,2008,35025,1617,87.7,5.6,2022,0.035327127,mail clerks and mail machine operators except postal service,,,43-9050,,"Mail Clerks and Mail Machine Operators, Except Postal Service",mail clerks and mail machine operators except postal service,43-9050,,,,
Mail clerks and mail machine operators except postal service,35948,3798,18444,2715,17504,2441,48.7,4.8,36818,1390,39923,2008,35025,1617,87.7,5.6,2022,0.035327127,mail clerks and mail machine operators except postal service,,,,43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",mail clerks and mail machine operators except postal service,43-9051,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service"
Office clerks general,821193,13879,146046,6991,675147,12872,82.2,0.8,40976,290,43344,1434,40659,321,93.8,3.3,2022,1.362603047376414,office clerks general,,,43-9060,,"Office Clerks, General",office clerks general,43-9060,,,,
Office clerks general,821193,13879,146046,6991,675147,12872,82.2,0.8,40976,290,43344,1434,40659,321,93.8,3.3,2022,1.362603047376414,office clerks general,,,,43-9061,"Office Clerks, General",office clerks general,43-9061,43-9061.00,"Office Clerks, General",43-9061,"Office Clerks, General"
Office machine operators except computer,19501,2953,8849,1845,10652,2111,54.6,6.7,36252,2964,41003,5991,31554,2010,(X),(X),2022,0.021498204,office machine operators except computer,,,43-9070,,"Office Machine Operators, Except Computer",office machine operators except computer,43-9070,,,,
Office machine operators except computer,19501,2953,8849,1845,10652,2111,54.6,6.7,36252,2964,41003,5991,31554,2010,(X),(X),2022,0.021498204,office machine operators except computer,,,,43-9071,"Office Machine Operators, Except Computer",office machine operators except computer,43-9071,43-9071.00,"Office Machine Operators, Except Computer",43-9071,"Office Machine Operators, Except Computer"
Proofreaders and copy markers,6456,1370,1457,584,4999,1125,77.4,7.4,46136,4307,53507,5310,42373,4718,(X),(X),2022,0.010089140044812008,proofreaders and copy markers,,,43-9080,,Proofreaders and Copy Markers,proofreaders and copy markers,43-9080,,,,
Proofreaders and copy markers,6456,1370,1457,584,4999,1125,77.4,7.4,46136,4307,53507,5310,42373,4718,(X),(X),2022,0.010089140044812008,proofreaders and copy markers,,,,43-9081,Proofreaders and Copy Markers,proofreaders and copy markers,43-9081,43-9081.00,Proofreaders and Copy Markers,43-9081,Proofreaders and Copy Markers
Statistical assistants,23890,2817,11685,1881,12205,1832,51.1,5.1,61689,2557,64470,6330,59542,3728,92.4,10.8,2022,0.024632517,statistical assistants,,,43-9110,,Statistical Assistants,statistical assistants,43-9110,,,,
Statistical assistants,23890,2817,11685,1881,12205,1832,51.1,5.1,61689,2557,64470,6330,59542,3728,92.4,10.8,2022,0.024632517,statistical assistants,,,,43-9111,Statistical Assistants,statistical assistants,43-9111,43-9111.00,Statistical Assistants,43-9111,Statistical Assistants
Office and administrative support workers all other,451335,11800,121573,6669,329762,9102,73.1,1.2,47979,775,54109,1516,46177,588,85.3,2.7,2022,0.6655361071128821,other office and administrative support workers,,43-9000,,,Other Office and Administrative Support Workers,other office and administrative support workers,43-9000,,,,
Office and administrative support workers all other,451335,11800,121573,6669,329762,9102,73.1,1.2,47979,775,54109,1516,46177,588,85.3,2.7,2022,0.6655361071128821,other office and administrative support workers,,,,43-9199,"Office and Administrative Support Workers, All Other",other office and administrative support workers,43-9199,43-9199.00,"Office and Administrative Support Workers, All Other",43-9199,"Office and Administrative Support Workers, All Other"
Natural Resources Construction and Maintenance Occupations,10738294,68884,10288762,68755,449532,12690,4.2,0.1,51155,141,51568,143,37784,958,73.3,1.8,2022,0.9072597124673799,natural resources construction and maintenance occupations,,,,,,,,,,,
Farming Fishing and Forestry Occupations,599195,15076,478411,13005,120784,6594,20.2,0.9,35511,413,37396,474,29304,1269,78.4,3.4,2022,0.2437700922529653,farming fishing and forestry occupations,45-0000,,,,"Farming, Fishing, and Forestry Occupations",farming fishing and forestry occupations,45-0000,,,,
Firstline supervisors of farming fishing and forestry workers,40401,3583,34810,3243,5591,1405,13.8,3.1,53892,2282,54908,2291,45011,8772,(X),(X),2022,0.011283933184745737,firstline supervisors of farming fishing and forestry workers,,,45-1010,,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",firstline supervisors of farming fishing and forestry workers,45-1010,,,,
Firstline supervisors of farming fishing and forestry workers,40401,3583,34810,3243,5591,1405,13.8,3.1,53892,2282,54908,2291,45011,8772,(X),(X),2022,0.011283933184745737,firstline supervisors of farming fishing and forestry workers,,,,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",firstline supervisors of farming fishing and forestry workers,45-1011,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
Agricultural inspectors,10816,1907,7309,1481,3507,1021,32.4,7.2,51558,5579,54320,6232,48915,2514,(X),(X),2022,0.007077938,agricultural inspectors,,,45-2010,,Agricultural Inspectors,agricultural inspectors,45-2010,,,,
Agricultural inspectors,10816,1907,7309,1481,3507,1021,32.4,7.2,51558,5579,54320,6232,48915,2514,(X),(X),2022,0.007077938,agricultural inspectors,,,,45-2011,Agricultural Inspectors,agricultural inspectors,45-2011,45-2011.00,Agricultural Inspectors,45-2011,Agricultural Inspectors
Animal breeders,6161,1364,4211,1140,1950,698,31.7,9.4,39600,7765,41198,9536,36541,9098,(X),(X),2022,0.003935552,animal breeders,,,45-2020,,Animal Breeders,animal breeders,45-2020,,,,
Animal breeders,6161,1364,4211,1140,1950,698,31.7,9.4,39600,7765,41198,9536,36541,9098,(X),(X),2022,0.003935552,animal breeders,,,,45-2021,Animal Breeders,animal breeders,45-2021,45-2021.00,Animal Breeders,45-2021,Animal Breeders
Graders and sorters agricultural products,32517,3545,11241,2136,21276,3099,65.4,5.7,32162,1608,41573,3212,30267,1934,72.8,7.2,2022,0.042939897,graders and sorters agricultural products,,,45-2040,,"Graders and Sorters, Agricultural Products",graders and sorters agricultural products,45-2040,,,,
Graders and sorters agricultural products,32517,3545,11241,2136,21276,3099,65.4,5.7,32162,1608,41573,3212,30267,1934,72.8,7.2,2022,0.042939897,graders and sorters agricultural products,,,,45-2041,"Graders and Sorters, Agricultural Products",graders and sorters agricultural products,45-2041,45-2041.00,"Graders and Sorters, Agricultural Products",45-2041,"Graders and Sorters, Agricultural Products"
Miscellaneous agricultural workers,437891,12331,353605,10959,84286,5460,19.2,1.1,32681,606,35187,489,27054,738,76.9,2.3,2022,0.17010867329806462,miscellaneous agricultural workers,,,45-2090,,Miscellaneous Agricultural Workers,miscellaneous agricultural workers,45-2090,,,,
Fishing and hunting workers,20879,2969,19980,2900,899,572,4.3,2.7,44273,4832,44817,4993,41622,17730,(X),(X),2022,0.00181439,fishing and hunting workers,,45-3000,,,Fishing and Hunting Workers,fishing and hunting workers,45-3000,,,,
