Occupation Name,Task Description,Importance,Verb-Noun Pairs
Clinical Nurse Specialists,"Provide direct care by performing comprehensive health assessments, developing differential diagnoses, conducting specialized tests, or prescribing medications or treatments.
Related occupations",61,"[('provide', 'care'), ('perform', 'assessment'), ('develop', 'diagnosis'), ('conduct', 'test')]"
Clinical Nurse Specialists,"Prepare reports to document patients' care activities.
Related occupations",59,"[('document', 'activity')]"
Clinical Nurse Specialists,"Write nursing orders.
Related occupations",59,"[('write', 'order')]"
Clinical Nurse Specialists,"Identify training needs or conduct training sessions for nursing students or medical staff.
Related occupations",58,"[('identify', 'need'), ('conduct', 'session')]"
Clinical Nurse Specialists,"Perform discharge planning for patients.
Related occupations",57,[]
Clinical Nurse Specialists,"Teach patient education programs that include information required to make informed health care and treatment decisions.
Related occupations",55,"[('teach', 'program'), ('include', 'information'), ('make', 'decision')]"
Clinical Research Coordinators,"Schedule subjects for appointments, procedures, or inpatient stays as required by study protocols.
Related occupations",87,[]
Clinical Research Coordinators,"Perform specific protocol procedures such as interviewing subjects, taking vital signs, and performing electrocardiograms.
Related occupations",86,"[('perform', 'procedure'), ('interview', 'subject'), ('take', 'sign'), ('perform', 'electrocardiogram')]"
Clinical Research Coordinators,"Assess eligibility of potential subjects through methods such as screening interviews, reviews of medical records, or discussions with physicians and nurses.
Related occupations",85,"[('screen', 'interview')]"
Clinical Research Coordinators,"Prepare study-related documentation, such as protocol worksheets, procedural manuals, adverse event reports, institutional review board documents, or progress reports.
Related occupations",85,"[('prepare', 'documentation')]"
Clinical Research Coordinators,"Inform patients or caregivers about study aspects and outcomes to be expected.
Related occupations",85,"[('inform', 'patient')]"
Clinical Research Coordinators,"Record adverse event and side effect data and confer with investigators regarding the reporting of events to oversight agencies.
Related occupations",84,[]
Clinical Research Coordinators,"Monitor study activities to ensure compliance with protocols and with all relevant local, federal, and state regulatory and institutional polices.
Related occupations",84,"[('monitor', 'activity'), ('ensure', 'compliance')]"
Clinical Research Coordinators,"Oversee subject enrollment to ensure that informed consent is properly obtained and documented.
Related occupations",83,"[('oversee', 'enrollment')]"
Clinical Research Coordinators,"Maintain required records of study activity including case report forms, drug dispensation records, or regulatory forms.
Related occupations",82,"[('maintain', 'record')]"
Clinical Research Coordinators,"Identify protocol problems, inform investigators of problems, or assist in problem resolution efforts, such as protocol revisions.
Related occupations",81,"[('identify', 'problem'), ('inform', 'investigator')]"
Clinical Research Coordinators,"Review proposed study protocols to evaluate factors such as sample collection processes, data management plans, or potential subject risks.
Related occupations",81,"[('propose', 'protocol'), ('evaluate', 'factor')]"
Clinical Research Coordinators,"Collaborate with investigators to prepare presentations or reports of clinical study procedures, results, and conclusions.
Related occupations",78,"[('prepare', 'presentation')]"
Clinical Research Coordinators,"Track enrollment status of subjects and document dropout information such as dropout causes and subject contact efforts.
Related occupations",77,[]
Clinical Research Coordinators,"Code, evaluate, or interpret collected study data.
Related occupations",77,"[('interpret', 'datum')]"
Clinical Research Coordinators,"Direct the requisition, collection, labeling, storage, or shipment of specimens.
Related occupations",76,"[('direct', 'requisition')]"
Clinical Research Coordinators,"Instruct research staff in scientific and procedural aspects of studies including standards of care, informed consent procedures, or documentation procedures.
Related occupations",75,"[('instruct', 'staff'), ('instruct', 'procedure')]"
Clinical Research Coordinators,"Maintain contact with sponsors to schedule and coordinate site visits or to answer questions about issues such as incomplete data.
Related occupations",74,"[('maintain', 'contact'), ('coordinate', 'visit'), ('answer', 'question')]"
Clinical Research Coordinators,"Prepare for or participate in quality assurance audits conducted by study sponsors, federal agencies, or specially designated review groups.
Related occupations",73,[]
Clinical Research Coordinators,"Order drugs or devices necessary for study completion.
Related occupations",71,[]
Clinical Research Coordinators,"Contact outside health care providers and communicate with subjects to obtain follow-up information.
Related occupations",69,"[('obtain', 'information')]"
Clinical Research Coordinators,"Participate in the development of study protocols including guidelines for administration or data collection procedures.
Related occupations",69,[]
Clinical Research Coordinators,"Confer with health care professionals to determine the best recruitment practices for studies.
Related occupations",66,"[('determine', 'practice')]"
Clinical Research Coordinators,"Communicate with laboratories or investigators regarding laboratory findings.
Related occupations",66,"[('regard', 'finding')]"
Clinical Research Coordinators,"Review scientific literature, participate in continuing education activities, or attend conferences and seminars to maintain current knowledge of clinical studies affairs and issues.
Related occupations",62,"[('review', 'literature'), ('attend', 'conference'), ('maintain', 'knowledge')]"
Clinical Research Coordinators,"Organize space for study equipment and supplies.
Related occupations",60,"[('organize', 'space')]"
Clinical Research Coordinators,"Develop advertising and other informational materials to be used in subject recruitment.
Related occupations",57,"[('develop', 'advertising')]"
Clinical Research Coordinators,"Dispense medical devices or drugs, and calculate dosages and provide instructions as necessary.
Related occupations",82,"[('dispense', 'device'), ('calculate', 'dosage'), ('provide', 'instruction')]"
Clinical Research Coordinators,"Arrange for research study sites and determine staff or equipment availability.
Related occupations",71,"[('determine', 'staff')]"
Clinical Research Coordinators,"Interpret protocols and advise treating physicians on appropriate dosage modifications or treatment calculations based on patient characteristics.
Related occupations",68,"[('interpret', 'protocol'), ('treat', 'physician')]"
Clinical Research Coordinators,"Contact industry representatives to ensure equipment and software specifications necessary for successful study completion.
Related occupations",65,"[('ensure', 'specification')]"
Clinical Research Coordinators,"Register protocol patients with appropriate statistical centers as required.
Related occupations",62,[]
Clinical Research Coordinators,"Solicit industry-sponsored trials through contacts and professional organizations.
Related occupations",56,[]
